"pubtatot_term"	"db_term"	"db_equivalence"	"term_id"	"mesh_id"	"start_pos"	"end_pos"	"entity_type"	"entity_pmid"
"1"	"colon cancer"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	105	117	"cancer_type_entity_p"	"28872373"
"2"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	190	200	"chemical_entity_p"	"28872373"
"3"	"colon cancer"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	563	575	"cancer_type_entity_p"	"28872373"
"4"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	957	963	"cancer_type_entity_p"	"28872373"
"5"	"catalase"	"catalase"	"catalase"	"2308"	"12855"	1495	1503	"gene_entity"	"28872373"
"6"	"CAT"	"cat"	"cat"	"2308"	"12854"	1505	1508	"gene_entity"	"28872373"
"7"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	146	152	"cancer_type_entity_p"	"18025290"
"8"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	479	487	"chemical_entity_p"	"18025290"
"9"	"epigallocatechin gallate"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	518	542	"chemical_entity_p"	"18025290"
"10"	"EGCG"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	544	548	"chemical_entity_p"	"18025290"
"11"	"genistein"	"Genistein"	"Genistein"	"127"	"D019833"	551	560	"chemical_entity_p"	"18025290"
"12"	"breast cancer"	"Breast Cancer"	"Breast Cancer"	"484"	"D001943"	592	605	"cancer_type_entity_p"	"18025290"
"13"	"MDA-MB-231"	"Breast Cancer"	"mda-mb-231"	"484"	"D001943"	606	616	"cancer_type_entity_cell"	"18025290"
"14"	"Curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	696	704	"chemical_entity_p"	"18025290"
"15"	"EGCG"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	709	713	"chemical_entity_p"	"18025290"
"16"	"Curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	744	752	"chemical_entity_p"	"18025290"
"17"	"EGCG"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	754	758	"chemical_entity_p"	"18025290"
"18"	"caspase-3"	"CASP3"	"CASP3"	"HGNC:1504"	"836"	864	873	"gene_hgnc_entity"	"18025290"
"19"	"cadherin-11"	"CDH11"	"CDH11"	"HGNC:1750"	"1009"	1196	1207	"gene_hgnc_entity"	"18025290"
"20"	"p21Cip1"	"CDKN1A"	"CDKN1A"	"HGNC:1784"	"1026"	1209	1216	"gene_hgnc_entity"	"18025290"
"21"	"urokinase-type plasminogen activator"	"PLAU"	"PLAU"	"HGNC:9052"	"5328"	1218	1254	"gene_hgnc_entity"	"18025290"
"22"	"interleukin-6"	"IL6"	"IL6"	"HGNC:6018"	"3569"	1260	1273	"gene_hgnc_entity"	"18025290"
"23"	"EGCG"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	1447	1451	"chemical_entity_p"	"18025290"
"24"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	1525	1533	"chemical_entity_p"	"18025290"
"25"	"cadherin-11"	"CDH11"	"CDH11"	"HGNC:1750"	"1009"	1544	1555	"gene_hgnc_entity"	"18025290"
"26"	"urokinase-type plasminogen activator"	"PLAU"	"PLAU"	"HGNC:9052"	"5328"	1570	1606	"gene_hgnc_entity"	"18025290"
"27"	"Curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	1655	1663	"chemical_entity_p"	"18025290"
"28"	"EGCG"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	1670	1674	"chemical_entity_p"	"18025290"
"29"	"genistein"	"Genistein"	"Genistein"	"127"	"D019833"	1680	1689	"chemical_entity_p"	"18025290"
"30"	"malignancies"	"Cancers"	"Cancers"	"10007"	"D009369"	173	185	"cancer_type_entity_p"	"28114318"
"31"	"p53"	"TP53"	"TP53"	"HGNC:11998"	"7157"	738	741	"gene_hgnc_entity"	"28114318"
