"id_polifenol"	"polifenol"	"id_gene"	"gene"	"quant"	"pmids"
"169"	"2959"	"(1'-ethoxy)ethyl 2-acetoxybenzoate"	"HGNC:7421"	"MT-CO2"	2	"21984018,20828891"
"789"	"2959"	"(1'-ethoxy)ethyl 2-acetoxybenzoate"	"HGNC:7419"	"MT-CO1"	2	"21984018,20828891"
"5088"	"1783"	"(10)-dehydrogingerdione"	"HGNC:17156"	"LY96"	1	"22387540"
"337"	"1796"	"(10)-shogaol"	"HGNC:2187"	"COL11A2"	1	"21598039"
"1021"	"1796"	"(10)-shogaol"	"HGNC:8743"	"PCSK1"	1	"28872603"
"3957"	"1796"	"(10)-shogaol"	"HGNC:6763"	"MAD2L1"	1	"21598039"
"3395"	"481"	"(2-((3,5-di-t-butyl-4-hydroxyphenyl)thio)-1-methylpropoxy)acetic acid"	"HGNC:3826"	"FPR1"	1	"8147901"
"5584"	"481"	"(2-((3,5-di-t-butyl-4-hydroxyphenyl)thio)-1-methylpropoxy)acetic acid"	"HGNC:1338"	"C5AR1"	1	"8147901"
"599"	"3383"	"(2-(2-(4-chlorobenzyloxy)phenoxy)ethyl)-(2-(2,6-dimethoxyphenoxy)ethyl)amine"	"HGNC:15962"	"CBX8"	1	"16302814"
"1027"	"3383"	"(2-(2-(4-chlorobenzyloxy)phenoxy)ethyl)-(2-(2,6-dimethoxyphenoxy)ethyl)amine"	"HGNC:8743"	"PCSK1"	1	"25481381"
"1325"	"3383"	"(2-(2-(4-chlorobenzyloxy)phenoxy)ethyl)-(2-(2,6-dimethoxyphenoxy)ethyl)amine"	"HGNC:1617"	"CCT4"	1	"16302814"
"5024"	"3383"	"(2-(2-(4-chlorobenzyloxy)phenoxy)ethyl)-(2-(2,6-dimethoxyphenoxy)ethyl)amine"	"HGNC:280"	"ADRA1D"	1	"25481381"
"8198"	"3383"	"(2-(2-(4-chlorobenzyloxy)phenoxy)ethyl)-(2-(2,6-dimethoxyphenoxy)ethyl)amine"	"HGNC:278"	"ADRA1B"	1	"16302814"
"8199"	"3383"	"(2-(2-(4-chlorobenzyloxy)phenoxy)ethyl)-(2-(2,6-dimethoxyphenoxy)ethyl)amine"	"HGNC:1388"	"CACNA1A"	1	"16302814"
"8195"	"650"	"(2,4,6-trihydroxyphenyl)-1-hexan-1-one"	"HGNC:19357"	"GGNBP2"	1	"10528134"
"8197"	"650"	"(2,4,6-trihydroxyphenyl)-1-hexan-1-one"	"HGNC:5392"	"IER3"	1	"10528134"
"191"	"1664"	"(2E,4E)-1-(2-hydroxyphenyl)-5-phenylpenta-2,4-dien-1-one"	"HGNC:7421"	"MT-CO2"	1	"26347954"
"794"	"1664"	"(2E,4E)-1-(2-hydroxyphenyl)-5-phenylpenta-2,4-dien-1-one"	"HGNC:7419"	"MT-CO1"	1	"26347954"
"4121"	"5099"	"(2R,3S)-3',4',5,7-tetrahydroxyflavan-3-yl octadecanoate"	"HGNC:9173"	"POLA1"	1	"16460233"
"3578"	"1221"	"(E)-2-((benzo(d)thiazol-2-ylimino)methyl)-4-chlorophenol"	"HGNC:1158"	"TSPO"	1	"24895493"
"8819"	"1222"	"(E)-2-((benzo(d)thiazol-2-ylimino)methyl)-4-nitrophenol"	"HGNC:2552"	"CUL2"	1	"28540651"
"2757"	"7813"	"1',2'-dihydrorotenone"	"HGNC:1583"	"CCND2"	1	"24615755"
"8194"	"4180"	"1-(2,6-dihydroxy-4-methoxyphenyl)hexan-1-one"	"HGNC:19357"	"GGNBP2"	1	"10528134"
"8196"	"4180"	"1-(2,6-dihydroxy-4-methoxyphenyl)hexan-1-one"	"HGNC:5392"	"IER3"	1	"10528134"
"7391"	"4004"	"1-(3',5'-dihydroxyphenoxy)-7-(2',4',6-trihydroxyphenoxy)-2,4,9-trihydroxydibenzo-1,4-dioxin"	"HGNC:1377"	"CA5A"	1	"19393283"
"1258"	"3607"	"1-(3,.4-dimethoxyphenyl)-3,5-dodecenedione"	"HGNC:16964"	"DCTN6"	1	"15927254"
"2758"	"3607"	"1-(3,.4-dimethoxyphenyl)-3,5-dodecenedione"	"HGNC:1583"	"CCND2"	1	"15927254"
"4896"	"4095"	"1-(3,4,5-trihydroxyphenyl)nonan-1-one"	"HGNC:18155"	"TXNRD2"	1	"26235054"
"373"	"618"	"1-(4'-hydroxyphenyl)butenone"	"HGNC:7553"	"MYC"	1	"28824426"
"6187"	"618"	"1-(4'-hydroxyphenyl)butenone"	"HGNC:3086"	"DVL2"	1	"28824426"
"7259"	"618"	"1-(4'-hydroxyphenyl)butenone"	"HGNC:3087"	"DVL3"	1	"28824426"
"699"	"1106"	"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane"	"HGNC:11766"	"TGFB1"	1	"26929200"
"1902"	"1106"	"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane"	"HGNC:11205"	"SP1"	2	"26035713,22081070"
"5392"	"1106"	"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane"	"HGNC:21073"	"TXNDC5"	3	"26035713,24515801,27144436"
"2020"	"3628"	"1,1-bis(3'-indolyl)-1-(p-anisyl)methane"	"HGNC:7980"	"NR4A1"	1	"17234778"
"3111"	"3628"	"1,1-bis(3'-indolyl)-1-(p-anisyl)methane"	"HGNC:6348"	"KLF4"	1	"19584258"
"56"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:7421"	"MT-CO2"	9	"20527891,18720191,23703900,17436566,27973724,29726862,25893742,29881425,26984043"
"230"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:2187"	"COL11A2"	4	"14672757,21872580,23435602,22334062"
"399"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:5397"	"IFI27"	1	"21872580"
"502"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:15962"	"CBX8"	10	"28725626,28946185,29086902,29542423,28462147,24223502,29179615,27765369,21815418,21766451"
"623"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:9236"	"PPARG"	1	"24070160"
"741"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:7419"	"MT-CO1"	2	"20527891,25379467"
"831"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:8109"	"ODC1"	1	"12628514"
"913"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:6081"	"INS"	1	"28539721"
"1101"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:12811"	"XK"	1	"15160995"
"1274"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:1617"	"CCT4"	6	"20548938,23453831,29329229,27224244,27537869,29142435"
"1405"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:16627"	"CHEK2"	1	"24348703"
"1460"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:7155"	"MMP1"	1	"28950658"
"1523"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:10718"	"SELE"	1	"27601851"
"1584"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:6859"	"MAP3K7"	1	"29933606"
"1607"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:3535"	"F2"	1	"23712134"
"1781"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:30306"	"PHB2"	2	"27649745,17590382"
"1914"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:11328"	"SSSCA1"	1	"29755561"
"1941"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:3797"	"FOSB"	1	"29933606"
"2003"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:9604"	"PTGS1"	1	"12628514"
"2019"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:6153"	"ITGB1"	1	"16182479"
"2031"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:5973"	"IL13"	1	"23907072"
"2477"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:5156"	"HPR"	1	"12417027"
"2912"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:24986"	"DNAJB7"	1	"16177974"
"3420"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:4191"	"GCG"	1	"28539721"
"3786"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:13253"	"CKLF"	1	"19731038"
"4164"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:10856"	"SI"	1	"29870608"
"4330"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:18259"	"ITLN1"	1	"27524032"
"4749"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:12450"	"TYRP1"	2	"23939793,25446237"
"4957"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:633"	"AQP1"	1	"29292793"
"4982"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:1637"	"CD1D"	2	"20022347,28760607"
"5070"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:2961"	"DYNC1H1"	1	"27524032"
"5122"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:9087"	"PLP2"	1	"29710781"
"5160"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:5136"	"HOXD13"	1	"18610738"
"5660"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:9215"	"POU3F2"	1	"27148169"
"5748"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:20599"	"ITLN2"	1	"27524032"
"5864"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:24466"	"SYNM"	1	"28704964"
"5982"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:1864"	"CES2"	1	"28760607"
"6175"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:4634"	"GSTM2"	1	"24157545"
"6204"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:24012"	"LARP6"	1	"19731038"
"6294"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:9075"	"SERPINF2"	1	"12417027"
"6643"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:4826"	"HBM"	1	"29430949"
"7038"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:14121"	"POLR3K"	1	"29430949"
"7074"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:1067"	"BMP1"	1	"15517910"
"7231"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:9155"	"PNLIP"	1	"28539721"
"7542"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:8778"	"PDE3A"	1	"28458366"
"7554"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:13631"	"RPL36"	1	"19230943"
"7673"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:3591"	"FARP1"	1	"28960771"
"7762"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:11148"	"FSCN1"	1	"21782712"
"7805"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:1090"	"DST"	1	"19595584"
"8164"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:19016"	"TRIM44"	1	"28720952"
"8206"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:17781"	"UCN3"	1	"26304331"
"8235"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:17149"	"VSIG2"	1	"26925328"
"8293"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:235"	"ADCY4"	1	"27973724"
"8435"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:24160"	"BEAN1"	1	"29366428"
"8441"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:17804"	"PIPOX"	1	"27928516"
"8655"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:9711"	"PWP2"	1	"29196839"
"8656"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:16821"	"NOP14"	1	"29196839"
"9119"	"3089"	"1,1-diphenyl-2-picrylhydrazyl"	"HGNC:4669"	"GTPBP1"	1	"20939605"
"1802"	"1417"	"1,2-dihydroxy-4'-chlorobiphenyl"	"HGNC:30306"	"PHB2"	1	"17681423"
"4259"	"1417"	"1,2-dihydroxy-4'-chlorobiphenyl"	"HGNC:8636"	"PC"	1	"15025504"
"6425"	"1417"	"1,2-dihydroxy-4'-chlorobiphenyl"	"HGNC:10401"	"RPS18"	1	"18561895"
"693"	"9"	"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt"	"HGNC:11766"	"TGFB1"	1	"9828111"
"1125"	"9"	"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt"	"HGNC:12811"	"XK"	2	"16763728,29700286"
"1849"	"9"	"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt"	"HGNC:3393"	"EPHB2"	2	"24496038,28153500"
"2331"	"9"	"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt"	"HGNC:3176"	"EDN1"	1	"28153500"
"3652"	"9"	"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt"	"HGNC:3180"	"EDNRB"	1	"28153500"
"4244"	"9"	"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt"	"HGNC:11346"	"IL24"	1	"15580305"
"4515"	"9"	"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt"	"HGNC:3179"	"EDNRA"	1	"28153500"
"6185"	"294"	"1,2-epoxy-3-(p-nitrophenoxy)propane"	"HGNC:389"	"AKR7A2"	1	"9679543"
"8359"	"736"	"1,2,4,5-tetrahydroxybenzene"	"HGNC:17348"	"PRPF3"	1	"28108382"
"1759"	"3537"	"1,2,4,5-tetramethoxybenzene"	"HGNC:5981"	"IL17A"	1	"27355819"
"1851"	"5716"	"1,3-bis-(2-hydroxy-phenyl)-propenone"	"HGNC:3393"	"EPHB2"	1	"22200628"
"617"	"3913"	"1,3,5-trimethoxybenzene"	"HGNC:15962"	"CBX8"	1	"20877240"
"2638"	"1795"	"1,4-O-diferuloylsecoisolariciresinol"	"HGNC:3287"	"EIF4E"	1	"23934262"
"591"	"1649"	"1,5-bis(2-hydroxyphenyl)-1,4-pentadien-3-one"	"HGNC:15962"	"CBX8"	1	"28038323"
"1022"	"1649"	"1,5-bis(2-hydroxyphenyl)-1,4-pentadien-3-one"	"HGNC:8743"	"PCSK1"	1	"28360932"
"1800"	"1649"	"1,5-bis(2-hydroxyphenyl)-1,4-pentadien-3-one"	"HGNC:30306"	"PHB2"	1	"28360932"
"6304"	"3646"	"1,5-bis(2-methoxyphenyl)penta-1,4-dien-3-one"	"HGNC:29489"	"KMT5A"	1	"22709867"
"2292"	"845"	"1,7-bis(4'-hydroxyphenyl)-3-heptanol"	"HGNC:2294"	"COX8A"	1	"25590368"
"706"	"1638"	"1,7-bis(4-hydroxyphenyl)-1,6-heptadiene-3,5-dione"	"HGNC:11766"	"TGFB1"	1	"26826337"
"8045"	"2090"	"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone"	"HGNC:17098"	"DICER1"	1	"25140305"
"1173"	"1689"	"16-hydroxyestrone"	"HGNC:6364"	"KLK3"	1	"19022961"
"2889"	"1689"	"16-hydroxyestrone"	"HGNC:11377"	"SULT1E1"	1	"19250210"
"6698"	"1689"	"16-hydroxyestrone"	"HGNC:6984"	"ME2"	1	"15691880"
"6886"	"1689"	"16-hydroxyestrone"	"HGNC:13797"	"PRX"	1	"18272409"
"6968"	"1689"	"16-hydroxyestrone"	"HGNC:17169"	"PRDX4"	1	"18272409"
"7088"	"1689"	"16-hydroxyestrone"	"HGNC:12950"	"SF1"	1	"21600284"
"611"	"5709"	"2'-hydroxy-2,4,4',5,6'-pentamethylchalcone"	"HGNC:15962"	"CBX8"	1	"28428276"
"586"	"5854"	"2'-hydroxy-3,4,3',4',6'-pentamethoxychalcone"	"HGNC:15962"	"CBX8"	1	"28428276"
"177"	"5730"	"2'-hydroxy-4-methylsulfonylchalcone"	"HGNC:7421"	"MT-CO2"	1	"23877542"
"354"	"5730"	"2'-hydroxy-4-methylsulfonylchalcone"	"HGNC:2187"	"COL11A2"	1	"23877542"
"134"	"5794"	"2'-hydroxychalcone"	"HGNC:7421"	"MT-CO2"	1	"20729081"
"561"	"5794"	"2'-hydroxychalcone"	"HGNC:15962"	"CBX8"	1	"23174316"
"1016"	"5794"	"2'-hydroxychalcone"	"HGNC:8743"	"PCSK1"	1	"16781454"
"1555"	"5794"	"2'-hydroxychalcone"	"HGNC:10718"	"SELE"	1	"10953045"
"5503"	"5794"	"2'-hydroxychalcone"	"HGNC:7939"	"NPPA"	1	"20826087"
"7532"	"5794"	"2'-hydroxychalcone"	"HGNC:6740"	"LYZ"	1	"15642415"
"689"	"6175"	"2'-hydroxyflavanone"	"HGNC:11766"	"TGFB1"	1	"29719590"
