"id_polifenol"	"polifenol"	"id_cancer"	"cancer"	"quant"	"pmids"
"1"	"104"	"Flavonoids"	"15585"	"Colorectal Cancer"	388	"27261599,23624232,28052097,27823633,29579978,29440765,17418981,29512707,17897817,20561027,24626522,19037088,27025376,21616090,21491996,26416794,24398569,28259937,29423046,26023926,26580959,15713899,25175673,21872580,22160193,17191121,23859040,28110189,28955240,27818240,26157550,27123066,23561189,24008356,19885574,15909122,12866025,10579870,28849234,25337553,26547532,17197076,24940817,19428936,1321338,24995310,25251374,15744083,18455702,22526619,25893829,26958937,15213223,24126433,24528358,27829548,26515162,21741427,29129665,29698783,29471888,10418944,27760539,15545229,24707875,19139819,28572828,26916801,29063088,27707626,23907061,23210512,28385566,29541427,27670274,19719238,16248588,10704911,25008568,29575334,20709524,25386076,15725655,17876056,26123287,12617611,23773626,23317880,11411569,23137376,15163544,26434259,24438177,23337959,27803454,18053307,15334063,15214488,11374833,24026776,23722601,26180625,26606169,23201840,24095020,29303970,25565802,15800915,23840275,22382861,27920817,27876336,23435602,23686257,20398749,28035355,16413414,25771121,25173561,14754875,29032208,25892545,22684842,22184071,11891088,21674787,25844036,20457140,12085217,26445322,21104029,27925497,17176222,17602653,23255485,17148506,22369068,25186940,27013795,23173924,28694750,25705818,22768128,26327408,23453831,23460110,20397199,18440233,20923189,21479885,21298326,18974136,18097692,24266406,23719279,26408343,29515203,10453447,17201169,23159065,19606519,26404080,27220561,16640504,24168160,15139523,12094622,22735354,29899208,22906313,24895583,29373904,28287469,15996021,19638489,25931350,21406604,20633549,22539432,23452983,29442390,24099426,27064876,22870126,26293804,19050992,14614451,16848514,25223958,18222973,10443335,15231453,24344605,24530873,10652438,15221776,25026504,24009741,25075794,27664007,28825571,29580144,23435631,15274140,21337646,15309432,26045985,26069485,29403999,28528091,8033070,21964875,24940499,23442980,28594405,16552572,22200628,28337019,19719968,29407472,28105204,29681865,29348836,25096395,15452831,20547166,28539711,23790944,27279714,27832690,21762688,29432917,23135489,25331269,22815676,21256954,18655183,20648923,24573487,28872373,10919656,27685909,26084155,29076434,2070483,22434356,19424582,15796208,16131149,20429956,24660462,18806956,11442279,26646778,26307342,21849051,9215855,18004724,16540225,20157880,28496481,21548803,17950073,22300907,24590261,20403331,25359775,27262321,23504630,17636936,25796713,26176582,16110120,21467667,16369997,22142698,23824743,24930002,14645680,29453046,10338685,19070422,27279256,29513789,28242546,21458546,20816778,25337584,21458113,24729227,26920053,20183323,18351577,16399234,27059855,27616072,12082016,25694787,19087425,26520390,25239551,16898869,20132046,22119371,22685350,23842450,21075159,23536316,25351676,17347140,12002801,12780904,9018079,29046908,26101614,25605996,21907578,10654159,29584932,12718627,18187256,18974642,24991108,15203384,19914226,15225578,11894763,25553799,20384315,29199553,18570232,26901186,21649465,28677983,23771521,16365058,21466426,15831530,11134977,10920275,16314920,22287334,20158254,23479391,12270215,21121257,26946158,7882322,18375960,15225597,20659486,12216075,28914038,18379113,24024667,20511675,7997472,18692983,24377586,26593537,24868862,25840808,11975496,25495760,24152430,19056647,16129554,28662339,25521038,28933386,29663361,17340576,25081655,19294386,10890034,12559383,29136951,14640528,24402200,27492327,12762790,16217561,20939605,19573959,28539721,17958394,21699017,16868069"
"2"	"104"	"Flavonoids"	"8865"	"Lung Cancer"	247	"28805696,25083589,29628889,26050647,29467859,24507925,17418981,23454208,22980865,20492175,26238746,29883784,25830055,27468464,23727915,9804172,21711112,20506293,15947208,23902763,26797785,22687635,25755690,26986176,24481824,24706622,23636231,15572301,28454469,15456784,22721615,29091869,25146759,26670842,25289772,29275301,10579870,28878321,19326946,28199969,27461104,21210297,25948105,26297431,27895312,19402641,25365293,17031514,28049093,22532078,23438826,27887793,26692948,28125432,27729209,21618507,21402146,27113311,28423703,24140887,29442032,16280456,22863938,29734739,28440400,28415048,26101063,22928834,17548900,29541888,27444692,27305771,21074525,24337484,16303243,20469635,27904686,18496814,27446443,25084411,25630105,28154877,20577025,22227970,26582127,28924370,23046062,9224209,17012224,29303970,29024631,18184547,12524154,28965117,20854805,27219898,23500080,25957189,19425186,29392841,25173561,10815012,16108826,15650394,26902401,25476160,21674787,27539140,27474067,21550230,22419427,21059620,23173924,25246059,14969337,17961621,28487966,23453831,27374881,25509294,18440233,27573346,19733932,28608828,25582488,22665077,19842135,19101886,28648644,20153296,17430639,26120234,15050731,27023497,26828287,29405784,29581932,28461245,29144597,26592500,16497287,1279187,27655216,18538589,24876151,24604573,28292015,25562804,27365992,27633248,25738754,28842850,29172259,21351299,29521106,25333250,15224346,24232740,28951762,27178637,24678980,20661829,21912610,29407472,24377638,25077464,16222712,23519250,15579072,28881718,26084155,20883688,19424582,17085048,24650056,26320438,16545824,26075219,26703544,26884726,26320439,27262066,17197231,19135038,21657076,17132915,25162013,26176582,29066885,26320443,21856323,15102949,28664315,26044862,25448439,24729227,27863301,27616072,28404902,16751978,21875046,29099046,17549417,21315788,21080070,21351454,22713941,29600977,29204733,28105464,3926336,27659390,29456686,28178217,12510833,23479391,26025855,17684411,25135771,26998077,29638061,28558874,28941682,8134418,21550553,18379113,28961040,22174562,11975496,18704264,27548149,25779384,21316425,29022361,25271983,24190493,25446044,1812215,29338226,26829483,23564766,21139272,28856944,27889540,8980395,28433747,16206043"
"3"	"104"	"Flavonoids"	"527"	"Prostate Cancer"	224	"21376033,21256211,23382917,12706007,17065200,21743964,23300633,15313200,18359761,27537398,25499067,26870290,19693651,28628830,29767250,22928835,29097203,18008333,24285354,23769983,11532861,27838343,20838625,19509250,17473376,16678392,18726985,28555835,28811126,26476001,23265454,26788200,17031854,24859932,28725626,18337475,18455702,26805810,20596804,27476422,16636967,19031366,16563612,16964758,20456427,11059749,25408199,15131058,11591177,19548283,25445226,21468543,25630105,20574928,10953339,17132221,23645467,20718984,28810652,17237281,16140534,23359392,20530556,14715546,12618755,19633975,23434138,16835506,19778521,21887406,23318178,25771121,12738992,24971999,29542423,12032841,19737984,25655047,19768977,24018886,27569589,23675277,21674787,17457054,27483851,21905716,28107698,17176222,21161819,23173924,22768128,26189300,25150162,18922931,28178952,19172579,18974136,18725386,27207648,23350280,11790449,15173424,25243063,18240292,19298190,23431365,16898267,24859601,22065906,21528340,25957503,28462147,18292973,21541623,23673480,16271822,11053652,11170137,18538589,22693649,26059723,25798940,24692702,17218638,11346885,25285031,21351299,16234852,24232740,11341036,25060568,25860066,27533043,16111875,27606834,15386368,26676551,23738732,11142097,11006131,10377442,25446081,16600019,27919958,17475387,26810568,16645725,21803027,18655183,20648923,9492340,15637089,25342300,27039735,26084155,15899838,9538139,23293751,26569200,26610436,12419835,18806956,15586246,17085048,12386921,26320438,12429923,23615534,26320439,21657076,24824323,23615977,27016192,22993634,26320443,29402482,15584372,24930002,18955307,11238180,9581834,11573952,29375715,21166494,16230333,11814454,17638904,19468836,22952557,25164625,28599307,24729227,9622078,21080070,12036915,29898731,22096313,15685239,11931850,16314891,19007764,17125241,11134977,28403777,27981754,20158254,28886426,26954068,24080313,14690799,24962584,29447469,10325503,27262332,16111881,21214467,12819936,26052153,22260294,10325492,20088766,28359741,22571261,17637507"
"4"	"104"	"Flavonoids"	"494"	"Colon Cancer"	201	"29579978,20561027,21491996,26416794,24398569,28259937,29423046,29883784,25175673,21872580,15881322,23859040,28110189,28955240,22407803,19885574,15909122,12866025,10579870,28849234,25337553,26547532,17197076,22526619,19994890,26958937,24528358,21741427,29698783,10418944,27760539,22449725,27113311,25034000,19139819,24354186,29063088,23210512,23975834,28385566,19719238,16248588,23973682,21074525,16140950,15725655,23773626,29926299,23317880,23137376,15163544,23645467,23337959,15214488,23722601,23201840,24095020,23434138,29303970,25840992,15800915,27920817,27876336,23686257,15586239,29425820,25771121,25554015,25173561,29389889,21954369,14754875,25892545,17176222,27745695,25186940,23173924,28694750,14969337,22768128,23453831,20923189,21298326,18974136,26408343,15173424,7543732,25582488,23159065,22083314,26404080,24168160,15139523,12094622,29373904,28287469,15996021,25931350,20633549,29442390,24099426,27064876,22870126,14614451,22849519,22135890,25223958,10443335,26963142,15221776,21351299,27664007,28825571,23435631,15274140,17227049,26045985,28951762,29403999,21964875,23442980,29552109,29348836,20309799,15452831,22906240,25331269,29244711,20648923,10919656,17381106,29076434,16131149,20429956,24660462,18806956,26646778,9163681,12358448,26344038,9215855,16545824,16540225,28496481,22300907,25359775,21657076,28626743,23504630,28930257,17636936,24824323,16369997,22142698,24930002,14645680,27669205,27279256,26434271,24729227,18351577,27059855,27616072,21875046,25239551,22685350,23842450,21075159,17347140,12002801,12780904,9018079,10654159,25421414,12718627,15203384,20384315,26901186,16365058,10851447,24818141,16314920,23479391,15237940,18375960,8108270,29217339,8134418,28122160,26593537,11975496,28029227,10851454,26234140,29338226,14640528,12762790,20939605,10851476,15051062,28539721"
"5"	"104"	"Flavonoids"	"506"	"Liver Cancer"	241	"24337903,27176768,24223706,20372819,27588401,26309548,28052097,29680738,26297979,25866363,17672346,24507925,23661153,24068521,25256427,21944925,28720813,10963959,26164795,20514473,28245170,25820747,28240161,23026832,25060910,27347080,27509965,20091746,29656183,28655996,23220614,24257119,29049999,19623560,18323654,21730822,21468539,27912880,28025124,26439681,24444546,20674374,28638884,26547532,24940817,19429375,27461104,16458870,23294370,26118776,15744083,19994890,25698902,19481059,25442273,21803068,18038912,29328481,20397728,22532078,27130644,10620351,21093431,15545229,27113311,15104235,29720833,25656992,25034000,23619285,26655407,26675844,28101238,17202857,17996228,21899551,24997323,24036141,28768515,15058208,18546141,21074525,27470413,28366538,16140950,21660680,23172681,25084411,28950682,29906537,22190452,16970933,27078842,23835921,25770930,26628295,14644660,24692698,19473757,29394494,24333668,24380421,21985227,19739098,19110045,28245756,22560876,25681471,29303970,26194866,21067180,22382861,26075245,26557713,18184547,12524154,22749133,25754378,24666416,27602097,23957358,26209062,26311153,27522262,9862414,29348766,29397094,27396915,25476160,19958256,21622138,27261613,24977707,22083996,27483851,19960539,26109775,28774308,17602653,26314304,19207037,24359777,20850954,22909797,15661813,22753749,17961621,28870197,26943884,23901654,15182386,26408343,17056790,28903343,23159065,19101886,17430639,21861846,29849733,23533482,23452983,28264020,17981005,22197970,28213269,22452660,26963142,24910406,25562804,24692702,29137246,17227049,29244256,27066046,14519939,28951762,29403999,29571134,23321314,28920615,29191453,17590382,27782823,29552109,21912610,29407472,28582635,23800391,23519250,25887417,17475387,20804824,23524937,24250510,26817239,16545824,26703544,21657076,18828600,26176582,21812646,24483948,24633846,17520098,27690627,16751978,19252325,19655416,25421414,21080643,28178217,19241580,27981754,26025855,21595573,28886426,29336118,23351147,18672886,21277955,25135771,26922854,27236067,22123201,27570096,28961040,25858705,26498482,25779384,25861749,26234140,24568488,25446044,27085357,28867797,23648796,24937759,15051062,16395655,16206043,21761841"
"6"	"104"	"Flavonoids"	"559"	"Leukemia"	191	"20175127,10963959,24583196,26164795,23877923,29434799,21229608,27042290,25014747,21800276,16497434,22185222,21596135,24706622,8519648,25138434,20559509,12115492,25146759,25390937,18987588,26648539,21364669,26547532,17345086,8084211,24628411,23765509,18636546,9374422,15744083,25442273,18790751,29472583,12949627,26141760,20397728,24398107,18930780,27760539,16860949,21364620,22492309,21165570,26655407,25561222,19719238,23907072,25016375,27210480,16087636,24443427,29555410,27803764,25339540,22004952,28286420,25084411,25684472,25630105,20577025,10953339,25546119,16158945,8968050,24438177,25539720,21212562,29630880,23203111,26646850,24991123,16614396,24702030,19425186,22113421,21867607,25203554,15857606,25771121,25922642,26387984,19426688,17341037,19768977,27168755,21622138,24632069,10953322,29649138,10558914,27085528,26598918,15572302,15644950,10673981,18958421,25779644,25849845,19842135,25667616,15117547,17430639,16011286,28797929,12648504,29144597,23533482,23063980,11205247,23452983,22047698,19288403,15755510,25201038,12479854,26463658,27761061,25264679,17218638,21351299,25096193,20025993,19288491,26069485,24232740,23266730,11595883,24678980,22170774,11396188,21291361,22593249,10713480,29312799,28865123,19449452,17666852,20804824,17447850,15579072,8642556,29407975,19010542,17085048,17765212,25886879,10563845,19135038,27234147,27262321,25986578,29355456,20697976,11497257,17458941,15584372,27455661,17154505,24292576,29656660,15036470,17353006,19528493,22758641,25379467,21480518,25239551,21382914,9720608,21080070,18552875,23872129,29326123,8567688,26941541,16781454,21462089,17870050,15949701,22770910,20158254,21277955,25632469,28911385,27023504,16949716,16001171,29338226,27889540,17637507"
"7"	"104"	"Flavonoids"	"230098"	"Hepatocellular carcinoma"	179	"24337903,27176768,24223706,20372819,27588401,29680738,25866363,17672346,21199322,23661153,24068521,25256427,21944925,28720813,26164795,28245170,25820747,28240161,23026832,27347080,27509965,20091746,29656183,28655996,29049999,21730822,26439681,28638884,22138516,18978810,16458870,23294370,26118776,24587153,22526619,19994890,25698902,21803068,18038912,29328481,27130644,21093431,15545229,22684543,15104235,24127655,29720833,23619285,26675844,28101238,17202857,17996228,29481769,29541427,24997323,24036141,19719238,28768515,15058208,28366538,21660680,23172681,12617611,25084411,28950682,27078842,23835921,26628295,24692698,19473757,29394494,24333668,22687553,19110045,26180625,28245756,22560876,25681471,29303970,26194866,21067180,26075245,26557713,25915649,18184547,22749133,25754378,23957358,28336971,26209062,26311153,9862414,29348766,27396915,25476160,9381980,19958256,27261613,21674787,29636773,24977707,24632069,26109775,26314304,27013795,24359777,20850954,15661813,17961621,7887960,26943884,27766389,23901654,17056790,28903343,23159065,24717393,15924350,17430639,21861846,28560391,23452983,28726775,17981005,22452660,24910406,18980244,29382035,24692702,29137246,17227049,29191453,17590382,15713544,27782823,28177238,27488610,27685909,26084155,23293751,29407981,24250510,10625944,25720342,20558139,21328458,18828600,26176582,24676882,15735088,21812646,16054198,17520098,26104578,29175112,29541715,26520390,16751978,24124108,19655416,28747003,26792956,28178217,29749314,22287334,27981754,21595573,28886426,27236067,29179521,22123201,26929587,18379113,26845136,25779384,26919160,29735893,24568488,14510590"
"8"	"104"	"Flavonoids"	"538"	"Ovarian Cancer"	103	"26119952,27019365,27414207,26113875,29421517,25242120,23502466,29223588,15947208,19903849,28763204,26315556,29142606,23570653,18430509,10418944,19838928,24612139,27426510,2257224,28571726,25522537,21660680,28286420,28950682,29734760,29070784,25845666,21244577,26893740,29587527,28436480,2131036,19447105,29512690,9081370,25771121,28934130,29438890,9381980,28587346,26098839,28482871,25405327,28912871,29761845,27585998,19172579,19005980,25776829,17063376,26345098,28111515,17285121,29324735,21625365,18974065,29844670,20459793,24885709,10353585,11595883,15913998,17357971,15746177,27039735,26084155,18097594,26320438,26320439,17197231,23768357,27279694,9815559,26320443,26434118,28119082,28599307,27616072,17071632,26520390,21246822,27904580,21351454,22866004,28588737,27814590,8808829,12510833,24818141,22837693,17326683,21584546,24359131,8482562,25870037,19725578,9563007,15043430,25855013,29564969,27045836,26255457"
"9"	"104"	"Flavonoids"	"521"	"Melanoma"	96	"28260058,10963959,25000190,24706622,23621210,20838625,21827495,29352974,25453494,22245252,24618693,23001390,23913940,23438826,26148186,24104352,29734739,28830513,28105189,22591439,19719238,23973682,24443427,29052399,25971889,20469635,28286420,24275163,15638088,28410220,26517521,27530117,23722601,26646850,21346776,27764752,25203554,25016296,29542423,11891088,27168755,21674787,27745695,23173924,14969337,18688565,18440233,22887049,10739098,22983392,29144597,25931350,10918203,24070738,27668542,26795272,21351299,29380243,25102117,11595883,24377461,22899374,17034658,26810568,24675012,8642556,11772931,27262066,20540768,23304254,15584372,10569809,26959747,16699821,27616072,22993618,17847709,9114752,18791269,19865514,15489212,21196432,11134977,28403777,27981754,21121257,11327532,26863880,24868862,27164914,15586237,26498482,1596889,1812215,12819936,19538057"
"10"	"104"	"Flavonoids"	"500"	"Gastric Cancer"	74	"26918059,29039326,22194772,18603343,28531805,19457454,25981581,25502212,29408335,26572257,23441616,28182003,27461104,23254270,20471467,25625479,26201693,28241766,28454311,24647664,22619007,29464049,26165353,24707875,26893664,25638174,15686411,25333894,25109410,20600540,26112905,25500692,24988056,25998143,25084411,28693212,24380421,26428258,22184071,29693162,22750388,29054762,19606519,16011286,29125991,27681719,29399116,21291361,27853354,22906240,22458642,23251241,20648923,26084155,16545824,25132753,20157880,15298613,20811676,11749698,21246822,2298289,8443813,17587681,17404066,26060454,10665481,17612370,18956590,20368937,18158844,19891604,9860503,26604389"
